date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:22:11	460/460	---MC-	302	error ('Found')	text/html	date:Fri,%2021%20Jan%202022%2010:22:10%20GMT	https://dev.h2prog.com/symfony/4-voitures/public/admin	C:/My%20Web%20Sites/ppe/dev.h2prog.com/symfony/4-voitures/public/admin.0.delayed	(from )
11:22:11	3000/3000	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Jan%202022%2010:22:11%20GMT	https://dev.h2prog.com/symfony/4-voitures/public/login	C:/My%20Web%20Sites/ppe/dev.h2prog.com/symfony/4-voitures/public/login.html	(from )
11:22:11	196/196	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Jan%202022%2010:22:11%20GMT	https://dev.h2prog.com/robots.txt		(from )
11:22:15	167043/167043	---MCZ	200	added ('OK')	text/css	etag:W/%2261cc9706-28c83%22	https://bootswatch.com/4/sketchy/bootstrap.min.css	C:/My%20Web%20Sites/ppe/bootswatch.com/4/sketchy/bootstrap.min.css	(from https://dev.h2prog.com/symfony/4-voitures/public/login)
11:22:15	0/0	---M--	200	added ('OK')	text/css	date:Sun,%2006%20Oct%202019%2007:15:41%20GMT	https://dev.h2prog.com/symfony/4-voitures/public/css/main.css	C:/My%20Web%20Sites/ppe/dev.h2prog.com/symfony/4-voitures/public/css/main.css	(from https://dev.h2prog.com/symfony/4-voitures/public/login)
11:22:16	3646/3646	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Jan%202022%2010:22:16%20GMT	https://dev.h2prog.com/symfony/4-voitures/public/inscription	C:/My%20Web%20Sites/ppe/dev.h2prog.com/symfony/4-voitures/public/inscription.html	(from https://dev.h2prog.com/symfony/4-voitures/public/login)
11:22:16	3137/3137	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Jan%202022%2010:22:16%20GMT	https://dev.h2prog.com/symfony/4-voitures/public/	C:/My%20Web%20Sites/ppe/dev.h2prog.com/symfony/4-voitures/public/index.html	(from https://dev.h2prog.com/symfony/4-voitures/public/login)
11:22:31	0/0	---M--	504	error ('Gateway%20Timeout')	text/html	date:Fri,%2021%20Jan%202022%2010:22:31%20GMT	https://code.jquery.com/jquery-3.3.1.slim.min.js	C:/My%20Web%20Sites/ppe/code.jquery.com/jquery-3.3.1.slim.min.5.delayed	(from https://dev.h2prog.com/symfony/4-voitures/public/login)
11:22:31	21004/21004	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-520c%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	C:/My%20Web%20Sites/ppe/cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	(from https://dev.h2prog.com/symfony/4-voitures/public/login)
11:22:36	58072/58072	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:08%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.min.js	C:/My%20Web%20Sites/ppe/stackpath.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.min.js	(from https://dev.h2prog.com/symfony/4-voitures/public/login)
11:22:36	0/-1	---M--	504	error ('')			https://code.jquery.com/jquery-3.3.1.slim.min.js	C:/My%20Web%20Sites/ppe/code.jquery.com/jquery-3.3.1.slim.min.html	(from https://dev.h2prog.com/symfony/4-voitures/public/login)
11:22:36	0/-1	---M--	504	error ('')			https://code.jquery.com/jquery-3.3.1.slim.min.js	C:/My%20Web%20Sites/ppe/code.jquery.com/jquery-3.3.1.slim.min.html	(from https://dev.h2prog.com/symfony/4-voitures/public/login)
